Id,Season,Date,Time,HomeTeamId,HomeTeam,HomeScore,AwayTeamId,AwayTeam,AwayScore,OverTime,Latitude,Longitude
23019,2009,2008-10-28,22:30,27,LAL,96,4,POR,76,N,34.043150,-118.267280
23017,2009,2008-10-28,20:00,5,BOS,90,9,CLE,85,N,42.365340,-71.062390
23018,2009,2008-10-28,{},8,CHI,108,7,MIL,95,N,41.880700,-87.674290
23026,2009,2008-10-29,20:00,35,OKC,87,7,MIL,98,N,35.463500,-97.514900
23030,2009,2008-10-29,21:00,26,UTA,98,24,DEN,94,N,40.768180,-111.901150
23025,2009,2008-10-29,19:30,21,NYK,120,16,MIA,115,N,40.750440,-73.993510
23021,2009,2008-10-29,22:30,25,GSW,103,38,NOH,108,N,37.750260,-122.202870
23020,2009,2008-10-29,20:00,22,DET,100,18,IND,94,N,42.696550,-83.245850
23023,2009,2008-10-29,{},11,LAC,79,27,LAL,117,N,34.043150,-118.267280
23024,2009,2008-10-29,20:00,2,MIN,98,15,SAC,96,N,44.979460,-93.276190
23022,2009,2008-10-29,20:30,1,HOU,82,31,MEM,71,N,29.750580,-95.362110
23031,2009,2008-10-29,19:00,20,WAS,85,36,NJN,95,N,38.898130,-77.021060
23028,2009,2008-10-29,18:00,28,PHI,84,10,TOR,95,N,39.901190,-75.171930
23029,2009,2008-10-29,20:00,17,SAS,98,14,PHO,103,N,29.427020,-98.437320
23027,2009,2008-10-29,19:00,13,ORL,85,6,ATL,99,N,28.539247,-81.383949
23034,2009,2008-10-30,22:30,14,PHO,95,38,NOH,108,N,33.445900,-112.071210
23033,2009,2008-10-30,{},23,DAL,102,1,HOU,112,N,32.790530,-96.810090
23032,2009,2008-10-30,19:00,9,CLE,96,3,CHH,79,N,41.496700,-81.688380
23041,2009,2008-10-31,19:00,10,TOR,112,25,GSW,108,OT,43.643300,-79.379140
23038,2009,2008-10-31,19:30,16,MIA,103,15,SAC,77,N,25.781430,-80.187950
23037,2009,2008-10-31,20:00,31,MEM,86,13,ORL,84,N,35.138110,-90.050280
23040,2009,2008-10-31,22:30,4,POR,100,17,SAS,99,N,45.531500,-122.666810
23036,2009,2008-10-31,{},11,LAC,103,24,DEN,113,OT,34.043150,-118.267280
23035,2009,2008-10-31,20:00,5,BOS,96,8,CHI,80,N,42.365340,-71.062390
23039,2009,2008-10-31,19:00,28,PHI,116,21,NYK,87,N,39.901190,-75.171930
23050,2009,2008-11-01,20:00,2,MIN,85,23,DAL,95,N,44.979460,-93.276190
23051,2009,2008-11-01,19:30,36,NJN,97,25,GSW,105,N,40.811600,-74.067600
23053,2009,2008-11-01,19:00,13,ORL,121,15,SAC,103,N,28.539247,-81.383949
23044,2009,2008-11-01,20:30,8,CHI,96,31,MEM,86,N,41.880700,-87.674290
23043,2009,2008-11-01,19:00,3,CHH,100,16,MIA,87,N,35.225140,-80.839200
23054,2009,2008-11-01,{},14,PHO,107,4,POR,96,N,33.445900,-112.071210
23047,2009,2008-11-01,20:30,1,HOU,89,35,OKC,77,N,29.750580,-95.362110
23042,2009,2008-11-01,19:00,6,ATL,95,28,PHI,88,N,33.757230,-84.396360
23045,2009,2008-11-01,21:00,24,DEN,97,27,LAL,104,N,39.748770,-105.007420
23046,2009,2008-11-01,19:30,22,DET,117,20,WAS,109,N,42.696550,-83.245850
23052,2009,2008-11-01,20:00,38,NOH,104,9,CLE,92,N,29.948910,-90.082160
23055,2009,2008-11-01,21:00,26,UTA,101,11,LAC,79,N,40.768180,-111.901150
23049,2009,2008-11-01,20:30,7,MIL,87,10,TOR,91,N,43.043730,-87.917170
23048,2009,2008-11-01,19:00,18,IND,95,5,BOS,79,N,39.763900,-86.155780
23057,2009,2008-11-02,{},35,OKC,88,2,MIN,85,N,35.463500,-97.514900
23056,2009,2008-11-02,18:00,21,NYK,86,7,MIL,94,N,40.750440,-73.993510
23062,2009,2008-11-03,19:00,13,ORL,96,8,CHI,93,N,28.539247,-81.383949
23063,2009,2008-11-03,19:00,28,PHI,125,15,SAC,91,N,39.901190,-75.171930
23058,2009,2008-11-03,19:00,3,CHH,83,22,DET,101,N,35.225140,-80.839200
23060,2009,2008-11-03,{},11,LAC,73,26,UTA,89,N,34.043150,-118.267280
23061,2009,2008-11-03,20:00,31,MEM,90,25,GSW,79,N,35.138110,-90.050280
23059,2009,2008-11-03,20:30,23,DAL,81,9,CLE,100,N,32.790530,-96.810090
23064,2009,2008-11-04,{},1,HOU,99,5,BOS,103,N,29.750580,-95.362110
23066,2009,2008-11-04,20:30,17,SAS,81,23,DAL,98,N,29.427020,-98.437320
23065,2009,2008-11-04,19:30,36,NJN,86,14,PHO,114,N,40.811600,-74.067600
23070,2009,2008-11-05,22:30,27,LAL,106,11,LAC,88,N,34.043150,-118.267280
23073,2009,2008-11-05,20:00,2,MIN,125,17,SAS,129,2OT,44.979460,-93.276190
23074,2009,2008-11-05,20:00,38,NOH,79,6,ATL,87,N,29.948910,-90.082160
